# RGB_values.csv --- 12.04.2014
# pellet colors --- greys
970;957;2;
252;167;70;
177;71;22;
163;72;22;
235;129;59;
220;118;46;
266;206;89;
275;180;89;
322;191;107;
305;269;124;
259;157;69;
257;151;72;
207;103;34;
174;108;30;
195;96;38;
350;216;131;
336;209;122;
155;61;15;
# pellet colors
3;1;0;
3;1;1;
5;1;1;
3;1;1;
3;1;0;
2;1;1;
3;1;1;
986;986;888;
2;1;1;
985;984;812;
97;151;347;
985;986;883;
38;456;22;
3;1;1;
986;968;93;
982;35;6;
105;139;310;
110;157;350;
987;985;886;
981;35;13;
986;974;94;
982;59;27;
71;465;52;
986;978;132;
988;988;973;
987;975;121;
986;986;908;
3;1;1;
3;1;1;
47;447;31;
2;1;1;
987;987;933;
987;986;949;
987;986;890;
3;1;1;
102;155;351;
987;986;915;
987;987;923;
3;1;1;
982;55;22;
115;163;349;
3;1;1;
63;428;34;
987;987;911;
987;975;87;
72;107;301;
986;986;883;
985;985;824;
986;987;897;
8;400;3;
1;1;1;
2;1;1;
41;88;287;
8;409;4;
44;77;263;
986;965;32;
37;65;245;
1;1;1;
1;1;1;
985;986;810;
11;430;6;
986;986;855;
1;1;1;
985;986;812;
1;1;1;
980;1;1;
1;1;0;
986;987;848;
985;986;837;
9;419;2;
1;0;1;
981;2;1;
1;1;1;
980;1;1;
978;1;1;
1;1;2;
0;1;1;
1;1;1;
984;984;748;
10;406;3;
987;986;867;
981;2;1;
985;985;787;
1;1;1;
985;927;15;
34;72;262;
15;483;9;
988;977;39;
1;1;1;
1;1;1;
987;988;921;
983;22;2;
1;1;1;
34;97;302;
987;988;911;
987;986;843;
987;986;847;
985;987;822;
986;985;811;
985;933;20;
986;987;846;
980;1;1;
0;1;1;
31;75;269;
31;76;267;
8;420;1;
985;919;13;
988;987;918;
5;384;1;
981;2;1;
986;965;21;
8;429;2;
30;87;291;
987;986;849;
981;1;1;
982;1;1;
987;967;23;
987;970;26;
986;986;812;
986;986;843;
0;2;1;
986;987;865;
986;986;842;
9;429;3;
30;78;283;
1;1;1;
9;422;3;
7;443;2;
985;902;18;
24;70;267;
987;987;869;
1;1;1;
988;988;920;
987;987;889;
47;93;283;
43;90;295;
987;986;830;
1;1;1;
980;3;1;
1;1;1;
1;1;1;
1;1;1;
33;80;275;
986;964;24;
981;1;1;
987;987;865;
980;1;1;
987;987;883;
993;992;987;
987;973;48;
61;121;333;
1;1;1;
986;964;58;
2;1;1;
80;134;351;
981;7;1;
2;1;1;
29;489;23;
988;977;80;
985;951;68;
1;1;1;
987;987;866;
987;987;849;
17;439;9;
984;885;34;
1;1;1;
11;454;7;
981;2;1;
981;42;14;
984;984;860;
121;170;381;
5;1;1;
982;77;44;
7;1;0;
982;66;34;
134;184;373;
8;1;1;
982;81;47;
982;74;45;
987;986;972;
986;978;139;
137;193;374;
986;986;942;
986;977;154;
985;975;139;
136;168;363;
3;1;1;
981;49;20;
44;462;32;
986;980;128;
45;423;25;
52;519;44;
986;986;926;
96;138;336;
47;464;30;
3;1;1;
985;986;889;
31;431;19;
985;985;853;
984;986;870;
2;1;1;
980;6;0;
984;947;49;
1;1;1;
1;1;0;
983;955;39;
985;944;47;
980;3;1;
985;985;830;
981;5;1;
16;448;8;
64;112;313;
1;1;0;
1;1;0;
984;956;50;
986;985;860;
24;457;12;
61;95;275;
2;1;1;
14;405;6;
56;95;293;
1;1;0;
19;417;5;
985;985;851;
981;6;0;
986;985;866;
984;925;35;
16;444;5;
987;986;885;
1;1;1;
984;983;740;
986;986;884;
980;7;1;
985;985;844;
55;103;296;
1;1;1;
